STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/5/13,2.5,0,28.9,18.9,31"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/6/13,8.6,3,28.9,19.4,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/7/13,6.6,12.2,30,20.6,10"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/8/13,6.4,0,31.7,21.1,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/9/13,3.6,0,32.2,21.7,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/10/13,8.1,0,34.4,22.8,14"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/11/13,8.1,0,33.3,22.2,11"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/12/13,16.5,0,33.3,18.3,55"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/13/13,9.9,0,29.4,15,72"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/14/13,10.7,0,30,18.9,34"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/15/13,5.6,17,30,20.6,19"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/16/13,3.8,0,32.2,21.1,48"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/17/13,10.7,0,33.3,21.1,11"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/18/13,6.4,0,35,21.7,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/19/13,4.6,10.4,33.9,19.4,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/20/13,7.4,0.5,33.3,20.6,"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/21/13,7.1,0.8,33.9,21.1,"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/22/13,8.9,45.7,33.9,20.6,37"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/23/13,0,38.4,28.3,18.9,14"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/24/13,4.1,10.2,30,20,10"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/25/13,5.1,0,30,17.2,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/26/13,5.8,0,28.9,15.6,13"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/27/13,7.9,0,28.3,16.7,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/28/13,8.4,0,30,17.2,11"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/29/13,1.3,0,27.2,16.7,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/30/13,5.8,0,29.4,17.8,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/31/13,6.6,4.8,26.1,19.4,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/1/13,3.6,1.8,31.7,20.6,19"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/2/13,4.3,0,30,17.2,27"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/3/13,10.2,0,31.1,17.2,0"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/4/13,1.3,7.1,25.6,19.4,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/5/13,6.6,0,30.6,20,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/6/13,2,6.9,25,20,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/7/13,0.3,6.6,27.2,21.7,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/8/13,7.4,0,32.8,22.8,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/9/13,5.3,1.3,33.9,22.8,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/10/13,7.4,0,34.4,22.8,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/11/13,5.1,0,30.6,22.2,11"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/12/13,0,4.6,30,22.2,0"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/13/13,9.4,14.2,32.8,20,19"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/14/13,7.9,0,30,16.7,43"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/15/13,3.6,0,25,12.8,63"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/16/13,9.9,0,27.8,13.3,13"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/17/13,3.3,0.5,26.1,17.2,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/18/13,3.6,0.3,26.7,16.7,24"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/19/13,2.3,0,28.3,16.7,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/20/13,8.9,0,31.1,16.7,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/21/13,6.4,6.1,31.7,19.4,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/22/13,3.8,0,33.3,20.6,0"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/23/13,9.7,1.5,33.3,19.4,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/24/13,6.1,0,33.3,20,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/25/13,6.9,0,32.2,21.7,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/26/13,2.8,0,31.7,20,18"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/27/13,8.9,0,31.7,17.2,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/28/13,4.3,0,32.2,17.2,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/29/13,8.4,0,33.3,18.3,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/30/13,3.8,0,34.4,20,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/31/13,10.9,0,34.4,20.6,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/1/13,4.1,0,35.6,21.7,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/2/13,3.3,7.6,26.7,20.6,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/3/13,0.8,1.3,31.7,17.8,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/4/13,8.9,0,30.6,15,21"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/5/13,5.1,0,30,13.3,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/6/13,5.1,0,30,13.9,11"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/7/13,10.9,0,31.7,16.1,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/8/13,2,0,34.4,17.2,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/9/13,2.8,4.1,36.1,18.3,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/10/13,8.4,0,34.4,21.1,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/11/13,5.3,0,35,21.1,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/12/13,0.3,8.4,31.7,20,0"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/13/13,5.6,1.8,33.3,17.2,10"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/14/13,11.4,0,26.7,10.6,61"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/15/13,6.4,0,23.9,9.4,27"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/16/13,2,0,29.4,10,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/17/13,3.3,0,30,12.8,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/18/13,5.6,0,31.1,18.3,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/19/13,5.6,0,31.1,19.4,26"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/20/13,5.1,0,32.2,19.4,19"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/21/13,,62,27.8,17.2,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,9/22/13,5.8,0,23.9,9.4,35"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/29/13,8.4,0,33.3,18.3,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,8/18/13,3.6,0.3,26.7,16.7,24"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/20/13,5.6,0,12.8,1.7,126"
